Resource Type,Title Info,Check Out,Expected Back,Check In,# Renewals,Barcode,Patron
Books,"Catch And Kill : Lies, Spies, And A Conspiracy To Protect Predators",3/31/2021,4/12/2021,,,300045,15156
Books,The View From The Cheap Seats : Selected Nonfiction,3/31/2021,4/12/2021,,,300319,15156
Books,"Seven Husbands Of Evelyn Hugo, The : A Novel",3/31/2021,4/12/2021,,,21478,15156
Books,Survivors In Mexico (Yale Nota Bene),3/31/2021,4/12/2021,,,21847,15156
Books,The Country of the Pointed Firs and Selected Short Fiction (Barnes & Noble Classics Series),3/31/2021,4/12/2021,,,7761,15156
Books,Mexican Gothic,3/31/2021,4/12/2021,,,300019,15156
Books,Exile,3/30/2021,4/13/2021,,,234263,3526
Books,Eclipse,3/30/2021,4/13/2021,,,11516,3526
Books,"Prince Of Beverly Hills, The",3/30/2021,4/13/2021,,,2107,13751
Books,Bryant & May on the Loose : A Peculiar Crimes Unit Mystery,3/30/2021,4/13/2021,,,9272,13148
Books,"Woodcutter, The : A Novel",3/30/2021,4/13/2021,3/30/2021,,1890,13751
Books,Golden Buddha,3/30/2021,4/13/2021,,,300497,13751
Books,In Search Of Snow : A Novel (Camino Del Sol),3/30/2021,4/13/2021,,,235341,3
DVDs,Death is Now My Neighbour [Inspector Morse Series 12],3/30/2021,4/13/2021,,,16671,13506
Books,Poems by Emily Dickenson,3/30/2021,4/13/2021,,,17876,300589
Books,Dead Cold,3/30/2021,4/13/2021,3/30/2021,,300442,13751
Books,Dead Cold,3/30/2021,4/13/2021,,,300442,13506
Books,Palace of treason : a novel,3/30/2021,4/13/2021,,,18465,13751
Books,Doors Open,3/30/2021,4/13/2021,3/30/2021,,235300,13751
Books,The Burning Man,3/30/2021,4/13/2021,,,16456,3526
Books,The Bernini bust,3/30/2021,4/13/2021,,,6426,13148
Books,The Final Judgment,3/30/2021,4/13/2021,,,12076,3526
Books,The Devil's Light : A Novel,3/30/2021,4/13/2021,,,12077,3526
Books,The Race,3/30/2021,4/13/2021,,,19990,3526
Books,Midwinter Sacrifice,3/30/2021,4/13/2021,3/30/2021,,10819,13751
Books,Doors Open,3/30/2021,4/13/2021,,,235300,13506
Books,Sun and Shadow : An Erik Winter Novel,3/30/2021,4/13/2021,,,21594,13506
Books,Sonya's Chickens,3/30/2021,4/13/2021,,,16085,3
Books,Unsheltered : A Novel,3/30/2021,4/13/2021,,,235878,3
Books,Midwinter Sacrifice,3/30/2021,4/13/2021,,,10819,13506
Books,Where Bear?,3/30/2021,4/13/2021,,,16082,3
Books,The Mixed-Up Chameleon,3/30/2021,4/13/2021,,,2653,3
Books,"Woodcutter, The : A Novel",3/30/2021,4/13/2021,,,1890,13506
DVDs,Death is Now My Neighbour [Inspector Morse Series 12],3/30/2021,4/13/2021,3/30/2021,,16671,13751
Books,Sun and Shadow : An Erik Winter Novel,3/30/2021,4/13/2021,3/30/2021,,21594,13751
Books,Ghosts,3/29/2021,4/12/2021,,,236226,300577
DVDs,Broadchurch (Season 1),3/29/2021,4/12/2021,,,22661,
Books,Thirty-Three Teeth (A Dr. Siri Paiboun Mystery),3/29/2021,4/12/2021,,,11294,13756
Books,Chemistry (DK Eyewitness Books),3/29/2021,4/12/2021,,,300208,300454
Books,"Pillars of Hercules, The : a grand tour of the Mediterranean",3/29/2021,4/12/2021,,,7691,18127
Books,"Splendid And The Vile, The : A Saga Of Churchill, Family, And Defiance During The Blitz",3/29/2021,4/12/2021,,,235380,
Books,Pride and Prejudice (Norton Critical Editions),3/29/2021,4/12/2021,,,20988,300454
Books,"Other Woman, The : A Novel",3/29/2021,4/12/2021,,,234122,
Books,Dark Fire : A Matthew Shardlake Tudor Mystery,3/29/2021,4/12/2021,,,12262,
Books,A Rule Against Murder : A Chief Inspector Gamache Novel,3/29/2021,4/12/2021,,,300029,13756
Books,Harry Potter And The Sorcerer's Stone,3/29/2021,4/12/2021,,,22437,300454
Books,Death on the Nile (Hercule Poirot),3/29/2021,4/12/2021,,,16787,235147
Books,A History Of Mexico (American Heritage Library),3/29/2021,4/12/2021,,,932,300454
Books,"Dogs Of Rome: A Commissario Alec Blume Nove, The",3/29/2021,4/12/2021,,,300515,
Books,Girl of His Dreams (Brunetti),3/29/2021,4/12/2021,,,10921,13756
Books,Woman Of No Importance : The Untold Story Of The American Spy Who Helped Win World War II,3/27/2021,4/10/2021,,,300470,13509
Books,Police : A Harry Hole Novel  (Harry Hole Series) (10),3/26/2021,4/9/2021,,,23038,22547
Books,Circe : A Novel,3/26/2021,4/9/2021,,,235873,13074
Books,The Affair : A Jack Reacher Novel (Jack Reacher Novels),3/26/2021,4/9/2021,,,16227,300379
Books,The Last Coyote (A Harry Bosch Novel),3/26/2021,4/9/2021,,,3330,300379
Books,"David and Goliath : Underdogs, Misfits, and the Art of Battling Giants",3/26/2021,4/9/2021,,,15686,300379
Books,The Poet,3/26/2021,4/9/2021,,,17673,300379
Books,"Silent Patient, The",3/26/2021,4/9/2021,,,235118,13074
Books,1984,3/26/2021,4/9/2021,,,22087,300379
Books,Dead Heat (A Dick Francis Novel),3/25/2021,4/8/2021,,,20806,13506
Books,Dressed For Death (A Penguin/Grove Press Bookcommissario Brunetti Mysteries),3/25/2021,4/8/2021,,,23348,13039
Books,"Man Called Ove, A : A Novel",3/25/2021,4/8/2021,,,19598,13039
Books,Today will be different : a novel,3/25/2021,4/8/2021,,,18220,13039
Books,TOOTH & NAIL : An Inspector Rebus Novel,3/25/2021,4/8/2021,,,16040,13506
Books,Eleanor Oliphant Is Completely Fine,3/25/2021,4/8/2021,,,300150,21487
Books,The Woman In The Window : A Novel,3/25/2021,4/8/2021,,,20879,21487
