Barcode,ISBN,Resource Type,Section,Title,Author,Status,# times Checked Out,Accession Date
235553,9780805010855,Books,Fiction,"""I"" Is For Innocent","Grafton, Sue.",,0,12/11/2020
16574,0805036504,Books,Fiction,"""N"" Is For Noose","Grafton, Sue.",,0,3/17/2021
235477,9780805059557,Books,Fiction,"""O"" Is For Outlaw","Grafton, Sue.",,0,12/11/2020
235467,0399149155,Books,Fiction,"""Q"" Is For Quarry","Grafton, Sue.",,0,12/11/2020
18186,9780399152283,Books,Hardcover fict,"""R"" is for ricochet","Grafton, Sue.",,1,7/19/2017
22576,9788429449259,Books,Young Adult,"""The Canterville Ghost"" And Other Stories","Wilde, Oscar",,0,4/22/2019
234171,0307120139,Books,child early rea,"""Where's My Blankie?""","Dickson, Anna H.",,0,12/17/2019
16609,9781598164473,Books,Young Adult,.hack//,"Ito, Kazunori",,0,1/14/2017
16375,9781598164480,Books,Young Adult,.hack//  Another Birth Volume 2//Mutation_,"Ito, Kazunori",,0,12/21/2016
16610,9781598164497,Books,Young Adult,.hack//  Another Birth Volume 3,"Ito, Kazunori",,0,1/14/2017
235643,9780736438117,Books,child early rea,**[Coco].,"Rivera, Liz.",,2,12/30/2020
16575,9780671026707,Books,,"[SERPENT BY CUSSLER, CLIVE]SERPENT[PAPERBACK]06-01-1999","Cussler, Clive",,4,1/16/2017
13848,9786071602008,Books,child. Latin Am,°QuÈ niÒo m·s lento!  (Spanish Edition),"LucÌa, Serrano Guerrero",,2,2/8/2016
17974,9781416924616,Books,child. Latin Am,°S˙per bebÈs!  (Dora La Exploradora) (Spanish Edition),"Inches, Alison",,0,6/19/2017
,,Audiobooks,,<New Title>,,,0,3/27/2021
,,DVDs,,<New Title>,,,0,4/10/2021
,,Books,,<New Title>,,,0,4/21/2021
,,Books,,<New Title>,,,0,4/23/2021
5672,9781557048646,Books,Non-fiction,"1,000 Dollars And An Idea","Wyly, Sam",,0,10/24/2015
234776,9780761104841,Books,Fiction,"1,000 Places To See Before You Die","Schultz, Patricia.",,1,3/6/2020
12857,1568522355,Books,Non-fiction,"1,000 Years of Irish Poetry","Hoagland, Kathleen",,0,2/1/2016
234744,9781596980556,Books,Non-fiction,10 Books That Screwed Up The World,"Wiker, Benjamin , 1960-",,1,2/29/2020
7740,9780731814329,Books,Short Stories,10 Short Stories You Must Read This Year,"Authors, Numerous",,1,11/14/2015
300487,9780714849690,Books,Non-fiction,"10,000 Years Of Art.",,,0,3/27/2021
300116,9780375838828,Books,Young Adult,100 Cupboards,"Wilson, Nathan D.",,1,9/10/2015
1986,9780760713594,Books,Non-fiction,100 Great Natural Remedies,"Ody, Penelope",,2,10/27/2015
19636,9780811201810,Books,Non-fiction,100 Poems From The Japanese,"Rexroth, Kenneth",,0,3/14/2018
4108,9780061133015,Books,Non-fiction,100 Ways America Is Screwing Up The World,"Tirman, John.",,2,10/19/2015
300172,9780789315830,Books,Judd Dolle - Re,1001 Classical Recordings You Must Hear Before You Die,"Rye, Matthew.",,0,2/24/2021
3073,9780789315243,Books,Non-fiction,1001 Paintings You Must See Before You Die,"Farthing, Stephen , 1950-",,0,3/23/2021
4711,9780545032797,Books,child 700,1001 Pirate Things To Spot,"Jones, Rob Loyd",,3,10/5/2015
19420,0717284832,Books,pic. books hard,101 Dalmatians,"Smith, Dodie",,3,12/22/2017
17016,,DVDs,Children's DVD,101 Gatos,,,2,2/6/2017
16612,9780486401584,Books,Non-fiction,101 Great American Poems,"Project, The American Poetry & Literacy",,1,1/14/2017
21145,51487069639,Books,child 500,101 Science Fair Projects,"Hirschmann, Kris",,0,8/1/2018
234949,9780071499033,Books,2nd language re,101 Spanish Verbs,"Ryder, Rory.",,0,3/21/2020
12237,9781566191661,Books,Non-fiction,1066 And All That,"Sellar, Walter Carruthers",,2,12/9/2015
10057,0330370014,Books,Fiction,10-lb Penalty,"Francis, Dick",,7,11/24/2015
15435,9781501120602,Books,Horror,11/22/63,"King, Stephen",,2,9/2/2016
12061,9780446571821,Books,Fiction,11th Hour,"Patterson, James",,7,12/7/2015
17467,,DVDs,DVD,12 Monkeys,,,0,3/27/2017
16176,9780892553129,Books,Short Stories,12 Short Stories and Their Making,"Mandelbaum, Paul",,0,12/28/2016
15551,9781878424082,Books,Non-fiction,"12 stages of healing, The","Epstein, Donald M. , 1953-",,0,9/17/2016
16795,9781556436512,Books,Non-fiction,12 steps to raw foods,"Boutenko, Victoria.",,2,1/25/2017
20202,9781501179952,Books,Non-fiction,12 Strong,"Stanton, Doug",,2,3/3/2018
6385,9780143125419,Books,Non-fiction,12 Years a Slave,"Northup, Solomon",,2,1/8/2016
7567,9780802141385,Books,Non-fiction,"12,000 Miles in the Nick of Time","Jacobson, Mark",,2,11/10/2015
9880,9780812984675,Books,Fiction,12.21,,,0,12/11/2015
12071,9781455515783,Books,Fiction,12th of never,"Patterson, James , 1947-",,4,12/7/2015
16826,,DVDs,DVD,13 goiing on 30,,,3,1/27/2017
300204,9781426307706,Books,child 500,13 Planets,"Aguilar, David A.",,0,2/25/2021
11025,9780007481644,Books,Fiction,1356,"Cornwell, Bernard",,0,11/21/2015
